    PID TTY          TIME CMD
  92559 ?        00:00:00 apache2
  92560 ?        00:00:00 apache2
  92958 ?        00:00:01 kworker/1:0-cgroup_destroy
  93097 ?        00:00:03 kworker/6:1-events
  99179 ?        00:00:01 kworker/5:3-events
 103418 ?        00:00:01 kworker/u32:3-events_power_efficient
 103483 ?        00:00:01 kworker/u32:1-events_power_efficient
 105493 ?        00:00:02 kworker/2:1-events
 105618 ?        00:00:01 kworker/1:1-events
 105699 ?        00:00:00 kworker/7:1-events
 105700 ?        00:00:01 kworker/4:1-events
 105762 ?        00:00:00 kworker/u32:2-phy0
 105841 ?        00:00:00 kworker/2:0-cgroup_destroy
 105956 ?        00:00:00 kworker/7:2-events
 106317 ?        00:00:00 kworker/4:2
 106454 ?        00:00:00 kworker/5:1
 106516 ?        00:00:00 kworker/3:2
 106517 ?        00:00:00 kworker/6:0
 115673 ?        00:00:00 kworker/2:2-cgroup_destroy
 115740 ?        00:00:00 kworker/u32:0-phy0
 115741 pts/0    00:00:00 memoria.sh
 117588 pts/0    00:00:00 ps
